Classificacao;Tweet Tratado;Tweet Original
yes;['votaram', 'pezao', 'agora', 'tomem', 'czao'];'Votaram no PEZAO Agora tomem no CZAO'
no;['cuidado', 'poupanca', 'pessoal', 'lembram', 'aconteceu', 'epoca', 'collor', 'ne'];'cuidado com a poupanca pessoal Lembram o que aconteceu na epoca do Collor ne'
no;['sabe', 'acho', 'engracado', 'governantes', 'nao', 'pensam', 'cortar', 'regalias', 'beneficios', 'desnecessarios', 'favorecem', 'porque', 'sera', 'ne', 'claro', 'ate', 'nao', 'quer', 'enxergar', 'sao', 'estao', 'la', 'defender', 'proprios', 'interesses', 'empresario', 'casso', 'tambem', 'comecamos', 'tomar', 'atitude', 'mudar', 'vez', 'todas', 'roubalheira', 'nesse', 'pais', 'tendencia', 'so', 'piorar', 'povo', 'porque', 'dinheiro', 'investimentos', 'nao', 'aumentos', 'salario', 'regalias', 'nao', 'falta'];'Sabe o que eu acho engracado os nossos governantes  nao pensam em cortar regalias e beneficios desnecessarios que os favorecem porque sera ne e mais do que claro ate mesmo para quem nao quer enxergar eles sao estao la para defender seus proprios interesses  e os dos empresario o no casso eles tambem ou comecamos a tomar uma atitude para mudar de uma vez por todas essa roubalheira nesse pais o a tendencia e so piorar para o povo porque dinheiro para investimentos nao tem mais para aumentos de salario e regalias nao falta'
no;['podiam', 'retirar', 'lucros', 'bancos'];'Podiam retirar dos lucros dos bancos '
no;['cade', 'o', 'galvao', 'pra', 'narrar', 'agora', 'faliiiiuuuuuuu', 'faliiiuuuuuuu', 'faliiuuuuuuu'];'CADE O GALVAO PRA NARRAR AGORA   FALIIIIUUUUUUU FALIIIUUUUUUU FALIIUUUUUUU  '
no;['nao', 'possivel', 'deputados', 'tantos', 'cargos', 'comissionados', 'dispor', 'e', 'tipo', 'coisa', 'precisa', 'ser', 'cortado'];'Nao e possivel que deputados tenham tantos cargos comissionados ao seu dispor E esse tipo de coisa que precisa ser cortado'
no;['sejam', 'honestos', 'aprovem', 'projeto', 'original', 'vamos', 'acabar', 'farra', 'brasil'];'Sejam honestos aprovem o projeto original vamos acabar com esta farra no Brasil'
no;['nao', 'pizza', 'anunciada', 'anistia', 'caixa', 'sim', 'divulgacao', 'lista', 'odebrecht'];'Nao a pizza anunciada de anistia do caixa  Sim a divulgacao da lista da Odebrecht'
no;['ja', 'viu', 'bandidos', 'fazendo', 'leis', 'contra', 'anticorrupcao'];'quem ja viu bandidos fazendo leis contra anticorrupcao '
no;['olha', 'caras', 'fazendo', 'algo', 'util', 'interesse', 'publico'];'Olha os caras fazendo algo de util e de interesse publico'
no;['mas', 'ai', 'mbl', 'mobiliza', 'povo', 'vai', 'pras', 'ruas', 'ironia'];'Mas ai o MBL mobiliza o povo e vai pras ruas  ironia'
no;['enquanto', 'teori', 'segura', 'bronca', 'stf'];'Enquanto isso o teori segura a bronca no stf'
no;['avante', 'medidas', 'brasil', 'clama', 'pra', 'cima', 'corruptos', 'cadeia', 'neles'];'AVANTE  MEDIDAS o Brasil clama por elas pra cima dos corruptos Cadeia neles'
no;['havia', 'previsao', 'entrar', 'plenario', 'comeco', 'novembro', 'e', 'preciso', 'aprovar', 'projeto', 'lei', 'medidas', 'anti', 'corrupcao', 'dois', 'milhoes', 'assinaturas', 'e', 'necessario', 'tambem', 'preservar', 'conteudo', 'original', 'projeto'];'Havia previsao entrar em plenario no comeco de novembro   E preciso aprovar o projeto de lei  medidas anti corrupcao com mais de dois milhoes de assinaturas   E necessario tambem preservar o conteudo original do projeto  '
